학년군,교과,영역,"핵심
아이디어",내용요소 (지식/이해만),성취기준 코드,성취기준,성취수준(A),성취수준(B),성취수준(C),해설
3~4,국어,듣기⋅말하기,"⋅듣기⋅말하기는 언어, 준언어, 비언어, 매체 등을 활용하여 서로의 생각과 감정을 주고받는 행위이다.
⋅화자와 청자는 상황 맥락 및 사회⋅문화적 맥락 속에서 의사소통 목적을 달성하기 위하여 다양한 유형의 담화를 듣고 말한다.
⋅화자와 청자는 의사소통 과정에 협력적으로 참여하고 듣기⋅말하기 과정에서의 문제를 해결하기 위해 적절한 전략을 사용하여 듣고 말한다.
⋅화자와 청자는 듣기⋅말하기에 흥미를 가지고 적극적으로 참여하면서 담화 공동체 구성원으로 성장하고, 상호 존중하고 공감하는 소통 문화를 만들어 간다.",,[4국01-01],중요한 내용과 주제를 파악하며 듣고 그 내용을 요약한다.,"중요한 내용과 주제를 정확하게 파악하며 듣고, 중심 내용과 세부 내용을 구분하여 자신의 언어로 요약할 수 있다.","중요한 내용과 주제를 파악하며 듣고, 중심 내용과 세부 내용을 구분하여 요약할 수 있다.","중요한 내용과 주제의 일부를 파악하며 듣고, 자신이 파악한 내용을 중심으로 요약한다.",
3~4,국어,듣기⋅말하기,,,[4국01-02],원인과 결과의 관계를 고려하여 내용을 예측하며 듣고 말한다.,"원인과 결과의 관계를 올바르게 고려하여 이어질 내용을 예측하며 듣고, 원인과 결과가 분명히 드러나게 말할 수 있다.",,"원인과 결과의 관계를 알고 이어질 내용을 부분적으로 예측하며 듣고, 원인이나 결과가 일부 드러나게 말한다.",
3~4,국어,듣기⋅말하기,,,[4국01-03],상황에 적절한 준언어⋅비언어적 표현을 활용하여 듣고 말한다.,담화 상황에 적절한 준언어ㆍ비언어적 표현을 활용하여 의미를 효과적으로 전달하고 이해하며 듣고 말할 수 있다.,담화 상황에 적절한 준언어ㆍ비언어적 표현을 활용하여 의미를 전달하고 이해하며 듣고 말할 수 있다.,담화 상황에서 준언어ㆍ비언어적 표현을 일부 활용하여 듣고 말한다.,"이 성취기준은 구어 의사소통 상황에서 억양, 어조, 속도 등의 준언어적 표현과 표정, 시선, 몸동작, 자세 등의 비언어적 표현을 활용하여 의미를 효과적으로 전달하고 이해할 수 있는 능력을 기르기 위해 설정하였다. 다양한 상황에 알맞은 준언어⋅비언어적 표현의 중요성 이해하기, 준언어⋅비언어적 표현의 의미와 효과 파악하기, 준언어⋅비언어적 표현의 적절성 점검하기, 상황에 적절한 준언어⋅비언어적 표현 활용하기 등을 학습한다."
3~4,국어,듣기⋅말하기,,"⋅상황 맥락
⋅대화",[4국01-04],상황과 상대의 입장을 이해하고 예의를 지키며 대화한다.,"상황과 상대의 입장을 정확히 이해하고, 상대를 배려하는 표현을 적극적으로 활용하여 예의를 지키며 대화할 수 있다.","상황과 상대의 입장을 이해하고, 상대를 배려하는 표현을 사용하여 예의를 지키며 대화할 수 있다.","상황과 상대의 입장을 부분적으로 이해하고, 일부 상황에서 예의를 지키며 대화한다.",
3~4,국어,듣기⋅말하기,,"⋅상황 맥락
⋅발표",[4국01-05],목적과 주제에 알맞게 자료를 정리하여 자신감 있게 발표한다.,"주어진 자료에서 발표 목적과 주제에 알맞은 내용을 중심으로 발표 내용을 정리하고, 발표 전 연습을 통해 점검한 사항을 바탕으로 자신감 있게 발표할 수 있다.","주어진 자료에서 발표 목적과 주제에 알맞은 내용을 중심으로 발표 내용을 정리하고, 자신감 있게 발표할 수 있다.","주어진 자료에서 발표 목적과 주제를 부분적으로 고려하여 발표 내용을 정리하고, 이를 나열하는 수준에서 발표한다.","이 성취기준은 교과 학습 상황을 비롯하여 다양한 상황에서 필요한 기초적인 발표 능력을 기르기 위해 설정하였다. 주어진 자료에서 발표 목적과 주제에 알맞은 내용을 중심으로 발표 내용 정리하기, 준비한 내용이 명확하게 전달되는지를 점검하며 발표 연습하기, 준언어⋅비언어적 표현을 효과적으로 사용하는지 점검하며 발표 연습하기, 연습 과정에서 부족했던 부분을 조정하여 자신감을 가지고 발표하기 등을 학습한다."
3~4,국어,듣기⋅말하기,,"⋅상황 맥락
⋅토의",[4국01-06],주제에 적절한 의견과 이유를 제시하고 서로의 생각을 교환하며 토의한다.,"주제에 적절한 의견과 타당한 이유를 분명하게 제시하고, 서로의 생각을 적극적으로 교환하며 다른 사람을 존중하는 태도로 토의에 참여할 수 있다.","주제에 적절한 의견과 이유를 제시하고, 서로의 생각을 교환하며 다른 사람을 존중하는 태도로 토의에 참여할 수 있다.","주제에 대한 의견과 이유를 일부 제시하고, 서로의 생각을 부분적으로 묻고 답하며 토의에 참여한다.","이 성취기준은 문제를 합리적으로 해결하기 위한 기초 능력으로서 토의 능력을 기르기 위해 설정하였다. 주제에 적절한 의견을 이유와 함께 제시하기, 상대의 의견을 구체적으로 파악하거나 의견과 이유의 적절성을 점검하기 위해 서로 묻고 답하기, 다른 사람의 생각 존중하기 등을 학습한다."
3~4,국어,읽기,"⋅읽기는 독자가 자신의 배경지식이나 경험을 활용하여 언어를 비롯한 다양한 기호나 매체로 표현된 글의 의미를 능동적으로 구성하는 행위이다.
⋅독자는 다양한 상황 맥락과 사회⋅문화적 맥락 속에서 자신의 읽기 목적을 달성하기 위하여 다양한 유형의 글을 읽는다.
⋅독자는 읽기 과정을 점검⋅조정하며 읽기 과정에서 부딪히는 문제를 해결하기 위해 적절한 읽기 전략을 사용하여 글을 읽는다. 
⋅독자는 읽기 경험을 통해 읽기에 대한 긍정적 정서를 형성하고 삶과 공동체의 문제 해결을 위해 공동체 구성원과 함께 독서를 통해 소통함으로써 사회적 독서 문화를 만들어 간다.",⋅상황 맥락,[4국02-01],글의 의미를 파악하며 유창하게 글을 읽는다.,"글의 의미를 정확하게 파악하고, 글의 의미를 효과적으로 표현하는 방법을 사용하여 유창하게 소리 내어 글을 읽을 수 있다.","글의 의미를 파악하고, 글의 의미를 효과적으로 표현하는 방법을 사용하여 유창하게 글을 읽을 수 있다.",글의 의미를 부분적으로 파악하며 글을 소리 내어 읽는다.,"이 성취기준은 글의 의미를 효과적으로 표현하는 방법을 사용하여 유창하게 글을 읽는 능력을 기르기 위해 설정하였다. 글의 유형에 따라 글의 분위기, 장면, 인물의 특성 등을 파악하고 이를 고려하되, 어조, 억양, 속도, 강세 등의 표현 요소를 활용하여 글을 읽으면서 글의 의미를 효과적으로 표현하기 등을 학습한다."
3~4,국어,읽기,,,[4국02-02],문단과 글에서 중심 생각을 파악하고 내용을 간추린다.,"문단별로 중요 단어와 중심 문장을 정확하게 파악하고, 문단별 중심 내용을 통합하여 글의 중심 생각을 파악할 수 있으며, 이를 자신의 말로 바꾸어 간추릴 수 있다.","문단별로 중요 단어와 중심 문장을 파악하고, 문단별 중심 내용을 통합하여 글의 중심 생각을 파악할 수 있으며, 이를 간추릴 수 있다.","문단별 중심 내용을 일부 파악하고, 글의 중심 생각을 부분적으로 파악하여 이를 간추린다.",
3~4,국어,읽기,,,[4국02-03],질문을 활용하여 글을 예측하며 읽고 자신의 읽기 과정을 점검한다.,질문을 활용하여 글의 의미나 내용을 예측하며 읽고 글에 대한 이해 수준과 읽기 과정에서 겪는 어려움을 적극적으로 점검하며 읽을 수 있다.,질문을 활용하여 글의 내용을 예측하며 읽고 자신의 읽기 과정에서 겪는 어려움을 점검할 수 있다.,질문을 활용하여 부분적으로 글을 예측하며 읽고 자신의 읽기 과정에서 겪는 어려움을 일부 점검한다.,"이 성취기준은 글을 읽으며 글에 대한 질문을 만들고 이에 대한 답을 예측하면서 글을 읽는 추론적 읽기 능력을 기르기 위해 설정하였다. 읽기 전이나 읽기 중에 이루어지는 질문을 통해 자신의 배경지식이나 경험을 글과 관련짓기, 배경지식이나 경험을 활성화하여 글의 의미 추론하기, 제목이나 글의 차례, 사진이나 그림 등의 자료를 통해 글의 의미 추론하기, 질문을 통해 단어의 의미, 이어질 내용이나 사건의 전후를 예측하기, 질문을 통해 글을 이해한 정도를 점검하거나 읽기 과정에서 겪는 어려움을 점검하기 등을 학습한다."
3~4,국어,읽기,,"⋅상황 맥락
⋅주장, 이유, 근거가 명시적인 글",[4국02-04],글에 나타난 사실과 의견을 구분하고 필자와 자신의 의견을 비교한다.,글에 나타난 사실과 의견을 구분하고 의견에 대한 타당성 평가를 바탕으로 필자와 자신의 의견을 적극적으로 비교할 수 있다.,글에 나타난 사실과 의견을 구분하고 필자의 의견을 일방적으로 수용하지 않고 자신의 의견을 비교할 수 있다.,"글에 나타난 사실과 의견을 부분적으로 구분하고, 필자와 자신의 의견을 일부 비교한다.","이 성취기준은 글에 나타난 사실과 의견을 구별하고 필자와 자신의 의견을 비교하면서 필자의 의견을 일방적으로 수용하지 않고 글을 비판적으로 읽는 능력을 기르기 위해 설정하였다. 글을 읽고 필자의 의견과 객관적 사실을 구별하기, 필자의 의견과 자신의 의견을 비교하기, 필자의 의견에 대한 타당성을 평가하기, 동일한 주제나 상황에 대한 서로 다른 의견 비교하기 등을 학습한다."
